id,source_x,title,doi,license,abstract,publish_time,journal,url,volume,issue,start_page,end_page,subject_class
2,AMC,Practical e-learning,NA,CC BY 4.0,"This paper presents practical issues involved in e-learning at the Faculty of Mathematics and Physics (FMF), University of Ljubljana, Slovenia. It begins with a short history of e-learning at FMF followed by a discussion about the choice of the open source software (Moodle, svn, wiki platform) as the foundation for the web based learning, about its advantages and disadvantages. We focus on materials that enhance classroom learning, conform to learning standards, and at the same time address the needs of the end users: the students. We conclude by presenting the result of a survey about the students' attitude towards e-learning in general and about the e-learning environment at FMF.",NA,AMC,https://amc-journal.eu/index.php/amc/editor/submission/2,NA,NA,NA,NA,NA
10,AMC,"Chromatic number, independence ratio, and crossing number",10.26493/1855-3974.10.2d0,CC BY 4.0,"Given a drawing of a graph G, two crossings are said to be dependent if they are incident with the same vertex. A set of crossings is independent if no two are dependent. We conjecture that if G is a graph that has a drawing all of whose crossings are independent, then the chromatic number of G is at most 5. We show that this conjecture is true if the crossing number of G is at most three. We also show that if all crossings are independent, then the chromatic number of G is at most 6, and the independence ratio of G is at least 3/16.",2008-06-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/10,1,1,1,6,05C15;05C10
13,AMC,Rose window graphs,10.26493/1855-3974.13.5bb,CC BY 4.0,"This paper introduces a family of tetravalent graphs called "";rose window graphs"";, denoted R_n(a, r), and investigates their symmetry properties. Four families of these graphs are shown to be edge-transitive and it is conjectured that every R_n(a, r) which is edged-transitive belongs to one of these families. Proofs and conjectures about the size of a dart-stabilizer and about regular maps containing these graphs are also offered.",2008-06-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/13,1,1,7,19,05C25;20F65
20,AMC,Coalesced and embedded nut graphs in singular graphs,10.26493/1855-3974.20.7cc,CC BY 4.0,"<p>A nut graph has a non-invertible (singular) 0-1 adjacency matrix with non-zero entries in every kernel eigenvector. We investigate how the concept of nut graphs emerges as an underlying theme in the theory of singular graphs. It is known that minimal configurations (MCs) are necessarily found as subgraphs of singular graphs. We construct MCs having nut graphs as subgraphs. Nut graphs can be coalesced with singular graphs at particular vertices or grown into a family of core graphs of larger nullity by adding a vertex at a time. Moreover, we propose a construction of nut line graph of trees by coalescence and a local enlargement of nut fullerenes and tetravalent nut graphs.</p>",2008-06-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/20,1,1,20,31,05C50;05B20;05C90;92E10
43,AMC,An optimality criterion for the crossing number,10.26493/1855-3974.43.506,CC BY 4.0,"A suffcient condition is given that a certain drawing minimizes the crossing number. The condition is in terms of intersections in an arbitrary set system related to the drawing, and is like a correlation inequality.",2008-06-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/43,1,1,32,37,05C10;05C62
51,AMC,On the Cayley isomorphism problem for a digraph with 24 vertices,10.26493/1855-3974.51.89f,CC BY 4.0,"In this paper we are mainly concerned with the Cayley isomorphism problem for groups containing $Q_8$. We prove that the group $Q_8\\times C_3$ is not a CI-group with respect to colour ternary relational structures. Further, we prove that the non-nilpotent group $Q_8\\rtimes C_3$ is not a CI-group with respect to graphs.",2008-06-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/51,1,1,38,43,0E20;0E99
35,AMC,"On graphs with the smallest eigenvalue at least −1 − √2, part I",10.26493/1855-3974.35.fe9,CC BY 4.0,"<p>There are many results on graphs with the smallest eigenvalue at least -2. As a next step, A. J. Hoffman proposed to study graphs with the smallest eigenvalue at least -1 - √2. In order to deal with such graphs, R. Woo and A. Neumaier defined a new generalization of line graphs which depends on a family of isomorphism classes of graphs with a distinguished coclique. They proved a theorem analogous to Hoffman's, using a particular family consisting of four isomorphism classes. In this paper, we deal with a generalization based on a family H smaller than the one which they dealt with, yet including generalized line graphs in the sense of Hoffman. The main result is that the cover of an H-line graph with at least 8 vertices is unique.</p>",2008-06-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/35,1,1,81,98,05C50
15,AMC,Vertex-weighted Wiener polynomials for composite graphs,10.26493/1855-3974.15.895,CC BY 4.0,Recently introduced vertex-weighted Wiener polynomials are a common generalization of both vertex-weighted Wiener numbers and ordinary Wiener polynomials. We present here explicit formulae for vertex-weighted Wiener polynomials of the most frequently encountered classes of composite graphs.,2008-06-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/15,1,1,66,80,05C12;05C90
24,AMC,Exotic behaviour of infinite hypermaps,10.26493/1855-3974.24.035,CC BY 4.0,"This is a survey of infinite hypermaps, and of how they can be constructed by using examples and techniques from combinatorial group theory, with particular emphasis on phenomena which have no analogues for finite hypermaps.",2008-06-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/24,1,1,51,65,05C10;20E06
17,AMC,A new class of movable (<i>n</i><sub>4</sub>) configurations,10.26493/1855-3974.17.de0,CC BY 4.0,"A geometric (n<sub>4</sub>) configuration is a collection of n points and n lines, usually in the Euclidean plane, so that every point lies on four lines and every line passes through four points. This paper introduces a new class of movable ((5m)<sub>4</sub>) configurations---that is, configurations which admit a continuous family of realizations fixing four points in general position but moving at least one other point---including the smallest known movable (n<sub>4</sub>) configuration.",2008-06-15T00:00:00Z,AMC,https://amc-journal.eu/index.php/amc/editor/submission/17,1,1,44,50,52C30;52C99
